UserId,No Of Abuse Report,No Of Rejected Friend Requests,No Of Friend Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
1,765,896,112,755,277,654,88,0
2,255,484,771,501,315,23,80,1
3,63,42,136,931,752,564,20,0
4,841,734,982,815,688,284,920,0
5,594,935,934,694,117,304,432,0
6,433,346,597,481,486,903,616,0
7,799,455,473,779,616,674,40,0
8,289,881,740,463,548,765,799,1
9,301,889,280,470,442,809,265,0
10,106,789,887,149,848,654,197,1
11,978,912,130,826,941,132,311,1
12,243,744,476,868,581,332,833,0
13,427,422,761,980,805,423,733,1
14,67,494,477,697,762,993,184,1
15,918,218,646,790,901,570,799,0
16,927,367,379,197,966,493,728,0
17,678,893,850,217,246,997,30,1
18,950,137,277,833,672,362,872,1
19,594,616,6,872,751,817,166,1
20,580,431,874,763,319,624,544,1
21,589,986,973,748,778,655,364,0
22,257,711,670,205,755,959,82,1
23,435,265,78,198,432,725,974,1
24,128,516,152,837,348,890,679,1
25,276,967,617,909,707,928,45,1
26,962,873,668,88,359,80,1,1
27,375,254,761,997,290,773,236,1
28,208,492,147,414,860,250,281,1
29,185,930,920,946,567,523,42,0
30,359,963,615,10,905,613,687,1
31,956,420,386,57,343,823,459,1
32,323,232,864,786,142,411,810,1
33,180,590,59,622,496,471,157,0
34,890,481,716,799,326,728,2,0
35,201,407,616,529,634,838,964,0
36,531,340,881,341,555,576,598,0
37,202,895,117,527,863,675,46,1
38,840,783,22,412,189,442,179,1
39,474,217,484,841,184,419,185,0
40,729,400,670,431,197,556,566,1
41,13,980,393,17,264,633,103,0
42,263,948,496,135,466,33,836,1
43,191,471,778,816,704,98,658,0
44,266,353,644,36,834,758,442,0
45,672,98,130,270,472,444,179,0
46,145,687,765,52,140,224,739,1
47,4,400,38,145,790,125,974,0
48,531,983,427,696,7,457,867,0
49,644,577,231,235,721,746,817,1
50,173,993,841,583,673,612,270,0
51,486,425,645,718,363,426,770,0
52,413,187,832,378,137,21,572,1
53,294,336,936,909,467,171,629,0
54,270,431,461,890,177,440,321,0
55,738,600,104,67,406,292,709,1
56,555,895,200,362,20,800,448,0
57,29,77,122,629,416,938,269,1
58,760,1,295,367,451,167,895,1
59,130,309,356,427,127,836,126,1
60,212,502,236,730,313,160,127,1
61,961,182,219,7,873,840,711,1
62,154,378,256,945,226,733,617,1
63,694,868,557,134,246,152,956,1
